,date,hour_of_day,D_wait_time,EE_wait_time,KS_wait_time
1,2015-01-01,8.0,9.38,4.5,8.75
2,2015-01-01,9.0,10.0,11.67,5.0
3,2015-01-01,10.0,18.75,31.25,6.25
4,2015-01-01,11.0,20.0,36.88,16.25
5,2015-01-01,12.0,26.25,50.0,35.56
6,2015-01-01,13.0,30.0,57.5,50.0
7,2015-01-01,14.0,55.0,49.38,60.56
8,2015-01-01,15.0,47.14,57.5,48.33
9,2015-01-01,16.0,36.67,70.0,30.0
10,2015-01-01,17.0,61.25,63.12,
11,2015-01-01,18.0,38.75,32.5,
13,2015-01-02,8.0,10.0,10.0,10.0
14,2015-01-02,9.0,11.11,18.75,10.0
15,2015-01-02,10.0,16.67,31.5,23.5
16,2015-01-02,11.0,25.56,39.44,45.0
17,2015-01-02,12.0,34.0,49.38,59.38
18,2015-01-02,13.0,40.0,45.0,55.0
19,2015-01-02,14.0,32.5,46.67,55.0
20,2015-01-02,15.0,42.5,45.62,41.11
21,2015-01-02,16.0,31.25,44.38,15.0
22,2015-01-02,17.0,50.0,45.0,
23,2015-01-02,18.0,20.0,31.88,
24,2015-01-02,19.0,10.0,20.62,
25,2015-01-03,8.0,10.0,5.0,10.0
26,2015-01-03,9.0,10.0,10.0,10.0
27,2015-01-03,10.0,10.0,25.62,10.0
28,2015-01-03,11.0,10.0,35.62,20.0
29,2015-01-03,12.0,10.0,38.5,25.56
30,2015-01-03,13.0,46.67,36.11,33.89
31,2015-01-03,14.0,55.0,33.75,23.33
32,2015-01-03,15.0,40.0,48.89,28.89
33,2015-01-03,16.0,32.22,42.22,12.86
34,2015-01-03,17.0,33.75,37.5,
35,2015-01-03,18.0,13.75,17.0,
39,2015-01-04,9.0,10.0,13.75,10.0
40,2015-01-04,10.0,26.25,23.12,10.0
41,2015-01-04,11.0,27.5,30.62,23.75
42,2015-01-04,12.0,22.5,36.67,26.25
43,2015-01-04,13.0,28.12,36.88,16.25
44,2015-01-04,14.0,25.0,36.88,20.0
45,2015-01-04,15.0,13.75,28.12,21.25
46,2015-01-04,16.0,23.75,28.12,10.0
47,2015-01-04,17.0,12.5,29.38,
48,2015-01-04,18.0,12.5,15.0,
49,2015-01-04,19.0,10.0,6.88,
51,2015-01-05,9.0,10.0,7.78,10.0
52,2015-01-05,10.0,12.5,21.88,12.22
53,2015-01-05,11.0,11.25,30.0,11.11
54,2015-01-05,12.0,40.71,32.5,21.25
55,2015-01-05,13.0,34.44,32.78,16.25
56,2015-01-05,14.0,32.5,31.88,12.5
