,date,hour_of_day,S_wait_time,SE_wait_time
1,2015-01-01,8.0,30.62,5.0
2,2015-01-01,9.0,56.88,7.5
3,2015-01-01,10.0,101.11,32.5
4,2015-01-01,11.0,111.25,
5,2015-01-01,12.0,118.12,33.33
6,2015-01-01,13.0,110.62,63.12
7,2015-01-01,14.0,101.88,42.5
8,2015-01-01,15.0,100.62,39.44
9,2015-01-01,16.0,115.62,45.0
10,2015-01-01,17.0,97.5,45.0
11,2015-01-01,18.0,90.0,33.75
12,2015-01-01,19.0,89.38,32.5
13,2015-01-01,20.0,68.75,26.88
16,2015-01-02,8.0,24.0,5.0
17,2015-01-02,9.0,78.33,13.75
18,2015-01-02,10.0,100.42,35.0
19,2015-01-02,11.0,93.0,50.0
20,2015-01-02,12.0,112.78,44.0
21,2015-01-02,13.0,120.62,45.0
22,2015-01-02,14.0,98.89,27.5
23,2015-01-02,15.0,105.0,37.5
24,2015-01-02,16.0,110.62,25.0
25,2015-01-02,17.0,88.12,37.22
26,2015-01-02,18.0,105.0,26.88
27,2015-01-02,19.0,88.75,25.0
28,2015-01-02,20.0,73.75,18.12
32,2015-01-03,9.0,42.0,7.5
33,2015-01-03,10.0,70.0,30.0
34,2015-01-03,11.0,83.5,36.0
35,2015-01-03,12.0,86.11,38.89
36,2015-01-03,13.0,88.89,36.67
37,2015-01-03,14.0,82.5,27.5
38,2015-01-03,15.0,78.75,25.0
39,2015-01-03,16.0,85.62,25.0
40,2015-01-03,17.0,90.62,17.22
41,2015-01-03,18.0,72.5,24.38
42,2015-01-03,19.0,70.0,19.44
43,2015-01-03,20.0,56.88,16.25
46,2015-01-04,9.0,28.75,7.5
47,2015-01-04,10.0,56.88,25.0
48,2015-01-04,11.0,64.38,35.0
49,2015-01-04,12.0,66.11,33.33
50,2015-01-04,13.0,73.12,30.0
51,2015-01-04,14.0,66.11,18.12
52,2015-01-04,15.0,62.22,20.0
53,2015-01-04,16.0,59.38,20.0
54,2015-01-04,17.0,61.88,19.44
55,2015-01-04,18.0,65.56,15.0
56,2015-01-04,19.0,56.88,15.62
57,2015-01-04,20.0,38.12,5.0
58,2015-01-05,9.0,22.5,5.0
59,2015-01-05,10.0,68.12,23.33
60,2015-01-05,11.0,69.38,37.5
61,2015-01-05,12.0,75.62,25.0
62,2015-01-05,13.0,63.12,26.25
63,2015-01-05,14.0,61.25,18.12
64,2015-01-05,15.0,60.62,25.0
65,2015-01-05,16.0,58.75,20.56
66,2015-01-05,17.0,67.5,16.11
67,2015-01-05,18.0,51.88,15.0
68,2015-01-05,19.0,56.88,8.75
69,2015-01-05,20.0,45.62,5.0
73,2015-01-06,9.0,44.44,9.0
74,2015-01-06,10.0,54.5,25.0
75,2015-01-06,11.0,74.38,30.0
