date,hour_of_day,RNR_wait_time,TSM_wait_time
2015-01-01,8.0,25.0,54.5
2015-01-01,9.0,50.0,71.67
2015-01-01,10.0,61.11,79.17
2015-01-01,11.0,70.0,76.25
2015-01-01,12.0,57.5,99.44
2015-01-01,13.0,71.11,96.25
2015-01-01,14.0,100.0,96.88
2015-01-01,15.0,108.33,108.75
2015-01-01,16.0,105.0,103.12
2015-01-01,17.0,100.0,118.89
2015-01-01,18.0,85.0,80.62
2015-01-01,19.0,90.0,80.62
2015-01-01,20.0,80.62,85.62
2015-01-01,21.0,70.0,68.33
2015-01-02,8.0,38.33,61.25
2015-01-02,9.0,60.0,100.0
2015-01-02,10.0,67.5,95.0
2015-01-02,11.0,106.67,93.75
2015-01-02,12.0,96.88,98.33
2015-01-02,13.0,101.25,90.0
2015-01-02,14.0,116.0,97.5
2015-01-02,15.0,103.89,112.5
2015-01-02,16.0,90.0,111.67
2015-01-02,17.0,72.86,101.11
2015-01-02,18.0,85.0,72.22
2015-01-02,19.0,78.12,77.5
2015-01-02,20.0,62.5,78.33
2015-01-02,21.0,66.25,67.5
2015-01-03,9.0,,78.33
2015-01-03,10.0,,95.0
2015-01-03,11.0,41.67,103.75
2015-01-03,12.0,103.64,87.22
2015-01-03,13.0,106.0,74.44
2015-01-03,14.0,123.75,72.5
2015-01-03,15.0,102.5,91.88
2015-01-03,16.0,91.88,85.0
2015-01-03,17.0,85.0,86.25
2015-01-03,18.0,85.0,63.33
2015-01-03,19.0,70.0,72.5
2015-01-03,20.0,70.0,73.75
2015-01-03,21.0,56.25,76.67
2015-01-04,9.0,,60.0
2015-01-04,10.0,,86.25
2015-01-04,11.0,,76.25
2015-01-04,12.0,,75.0
2015-01-04,13.0,,81.67
2015-01-04,14.0,,85.0
2015-01-04,15.0,,84.38
2015-01-04,16.0,,84.38
2015-01-04,17.0,,92.5
2015-01-04,18.0,,71.88
2015-01-04,19.0,,65.0
2015-01-05,9.0,34.44,62.5
2015-01-05,10.0,61.67,86.88
2015-01-05,11.0,72.5,85.56
2015-01-05,12.0,80.0,74.38
2015-01-05,13.0,60.0,73.12
2015-01-05,14.0,64.55,89.38
2015-01-05,15.0,85.62,88.75
2015-01-05,16.0,68.75,92.5
2015-01-05,17.0,70.0,84.38
2015-01-05,18.0,80.0,76.88
2015-01-05,19.0,60.0,58.75
2015-01-06,9.0,32.78,63.89
2015-01-06,10.0,65.0,103.33
2015-01-06,11.0,70.62,65.62
2015-01-06,12.0,77.5,67.5
2015-01-06,13.0,46.88,68.12
2015-01-06,14.0,50.0,83.75
2015-01-06,15.0,75.62,76.88
2015-01-06,16.0,78.75,78.75
2015-01-06,17.0,77.5,68.12
2015-01-06,18.0,56.88,68.75
2015-01-07,9.0,41.0,67.5
2015-01-07,10.0,79.38,105.0
2015-01-07,11.0,70.0,73.12
2015-01-07,12.0,68.12,75.0
2015-01-07,13.0,43.12,75.0
2015-01-07,14.0,60.0,74.38
2015-01-07,15.0,61.25,80.0
2015-01-07,16.0,70.0,80.0
2015-01-07,17.0,78.75,76.67
