date,hour_of_day,DT_wait_time,POC_wait_time,SM_wait_time
2015-01-01,8.0,78.33,,5.0
2015-01-01,9.0,103.33,,5.0
2015-01-01,10.0,87.5,27.5,15.56
2015-01-01,11.0,85.56,62.5,21.88
2015-01-01,12.0,121.11,50.0,28.12
2015-01-01,13.0,138.33,56.88,59.38
2015-01-01,14.0,162.0,60.0,61.25
2015-01-01,15.0,148.75,57.5,63.75
2015-01-01,16.0,144.44,64.44,70.0
2015-01-01,17.0,113.75,48.75,49.38
2015-01-01,18.0,103.33,43.57,41.88
2015-01-01,19.0,120.0,34.38,34.38
2015-01-01,20.0,,,10.62
2015-01-01,21.0,,,7.5
2015-01-01,22.0,114.0,7.5,6.88
2015-01-02,8.0,59.5,5.0,5.0
2015-01-02,9.0,88.75,9.0,5.0
2015-01-02,10.0,103.33,35.62,18.12
2015-01-02,11.0,125.56,52.5,32.5
2015-01-02,12.0,125.56,46.67,55.56
2015-01-02,13.0,147.5,51.67,87.78
2015-01-02,14.0,171.11,70.56,93.12
2015-01-02,15.0,182.0,47.22,91.88
2015-01-02,16.0,145.0,61.25,84.38
2015-01-02,17.0,106.67,58.12,78.75
2015-01-02,18.0,107.0,44.0,58.12
2015-01-02,19.0,120.0,40.0,50.62
2015-01-02,20.0,130.0,33.33,27.5
2015-01-02,21.0,85.0,21.25,16.11
2015-01-02,22.0,74.38,16.36,27.78
2015-01-03,9.0,108.33,5.0,5.0
2015-01-03,10.0,76.5,11.25,26.88
2015-01-03,11.0,96.67,40.62,46.25
2015-01-03,12.0,115.56,34.0,41.5
2015-01-03,13.0,130.0,44.44,69.5
2015-01-03,14.0,105.0,49.38,76.88
2015-01-03,15.0,103.5,41.67,69.38
2015-01-03,16.0,137.78,49.38,76.25
2015-01-03,17.0,138.75,35.0,78.75
2015-01-03,18.0,116.0,38.12,52.5
2015-01-03,19.0,80.0,38.75,53.12
2015-01-03,20.0,86.67,31.88,30.0
2015-01-03,21.0,101.25,18.5,22.27
2015-01-03,22.0,85.0,18.75,26.88
2015-01-04,9.0,65.56,5.0,5.0
2015-01-04,10.0,88.5,7.78,15.56
